Group Name,Role,Email,Status
Course 151 Group Name,student,student151@viaLT.com,active
Course 151 Group Name,student,student152@viaLT.com,active
Course 151 Group Name,student,student153@viaLT.com,active
Course 151 Group Name,student,student154@viaLT.com,active
Course 151 Group Name,student,student155@viaLT.com,active
Course 151 Group Name,student,student156@viaLT.com,active
Course 151 Group Name,student,student157@viaLT.com,active
Course 151 Group Name,student,student158@viaLT.com,active
Course 151 Group Name,student,student159@viaLT.com,active
Course 151 Group Name,student,student160@viaLT.com,active
Course 152 Group Name,student,student151@viaLT.com,active
Course 152 Group Name,student,student152@viaLT.com,active
Course 152 Group Name,student,student153@viaLT.com,active
Course 152 Group Name,student,student154@viaLT.com,active
Course 152 Group Name,student,student155@viaLT.com,active
Course 152 Group Name,student,student156@viaLT.com,active
Course 152 Group Name,student,student157@viaLT.com,active
Course 152 Group Name,student,student158@viaLT.com,active
Course 152 Group Name,student,student159@viaLT.com,active
Course 152 Group Name,student,student160@viaLT.com,active
FEM 151 Group Name,student,student151@viaLT.com,active
FEM 151 Group Name,student,student152@viaLT.com,active
FEM 151 Group Name,student,student153@viaLT.com,active
FEM 151 Group Name,student,student154@viaLT.com,active
FEM 151 Group Name,student,student155@viaLT.com,active
FEM 151 Group Name,student,student156@viaLT.com,active
FEM 151 Group Name,student,student157@viaLT.com,active
FEM 151 Group Name,student,student158@viaLT.com,active
FEM 151 Group Name,student,student159@viaLT.com,active
FEM 151 Group Name,student,student160@viaLT.com,active
FEM 152 Group Name,student,student151@viaLT.com,active
FEM 152 Group Name,student,student152@viaLT.com,active
FEM 152 Group Name,student,student153@viaLT.com,active
FEM 152 Group Name,student,student154@viaLT.com,active
FEM 152 Group Name,student,student155@viaLT.com,active
FEM 152 Group Name,student,student156@viaLT.com,active
FEM 152 Group Name,student,student157@viaLT.com,active
FEM 152 Group Name,student,student158@viaLT.com,active
FEM 152 Group Name,student,student159@viaLT.com,active
FEM 152 Group Name,student,student160@viaLT.com,active
edTPA 151 Group Name,student,student151@viaLT.com,active
edTPA 151 Group Name,student,student152@viaLT.com,active
edTPA 151 Group Name,student,student153@viaLT.com,active
edTPA 151 Group Name,student,student154@viaLT.com,active
edTPA 151 Group Name,student,student155@viaLT.com,active
edTPA 151 Group Name,student,student156@viaLT.com,active
edTPA 151 Group Name,student,student157@viaLT.com,active
edTPA 151 Group Name,student,student158@viaLT.com,active
edTPA 151 Group Name,student,student159@viaLT.com,active
edTPA 151 Group Name,student,student160@viaLT.com,active
