User ID,Firstname,Middlename,Lastname,Gender,Email,Role,Password,Major,Ethnicity,Class,Academic program,LTI User ID,SSO UID,SAT,ACT,GRE,MCAT,GMAT,LSAT
student151,student,a.,151,male,student151@viaLT.com,student,t3stL0ad3r,Finance,Hispanic or Latino,Freshman,Banking & Financial Law,,,2400,36,1600,45,800,180
student152,student,a.,152,male,student152@viaLT.com,student,t3stL0ad3r,Mathematics,White,,Humanities,,,2350,34,1550,42,780,160
student153,student,a.,153,male,student153@viaLT.com,student,t3stL0ad3r,Finance,Not Specified / Declined to Specify,Doctoral,Neurobiology,,,2300,32,1500,40,760,150
student154,student,a.,154,male,student154@viaLT.com,student,t3stL0ad3r,Economics,Two or More Races,,,,,,,,,,
student155,student,a.,155,male,student155@viaLT.com,student,t3stL0ad3r,Mathematics,Hispanic or Latino,Freshman,,,,,,,,,
student156,student,a.,156,female,student156@viaLT.com,student,t3stL0ad3r,Economics,White,,,,,,,,,,
student157,student,a.,157,female,student157@viaLT.com,student,t3stL0ad3r,Finance,Two or More Races,,,,,,,,,,
student158,student,a.,158,female,student158@viaLT.com,student,t3stL0ad3r,Mathematics,Not Specified / Declined to Specify,Doctoral,,,,,,,,,
student159,student,a.,159,female,student159@viaLT.com,student,t3stL0ad3r,Economics,,Freshman,,,,,,,,,
student160,student,a.,160,female,student160@viaLT.com,student,t3stL0ad3r,Finance,White,,,,,,,,,,
student161,student,a.,161,female,student161@viaLT.com,student,t3stL0ad3r,Finance,White,,,,,,,,,,
student162,student,a.,162,female,student162@viaLT.com,student,t3stL0ad3r,Finance,White,,,,,,,,,,
student163,student,a.,163,female,student163@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
faculty151,faculty,a.,151,male,faculty151@viaLT.com,faculty,t3stL0ad3r,Mathematics,Two or More Races,,,,,,,,,,
faculty152,faculty,a.,153,female,faculty153@viaLT.com,faculty,t3stL0ad3r,Economics,Not Specified / Declined to Specify,Doctoral,,,,,,,,,
faculty153,faculty,a.,152,female,faculty152@viaLT.com,faculty,t3stL0ad3r,,,,,,,,,,,,
faculty154,faculty,a.,154,female,faculty154@viaLT.com,faculty,t3stL0ad3r,,,,,,,,,,,,
admin151,admin,a.,151,male,admin151@viaLT.com,admin,t3stL0ad3r,,,,,,,,,,,,
admin152,admin,a.,152,male,admin152@viaLT.com,admin,t3stL0ad3r,,,,,,,,,,,,
admin153,admin,a.,153,male,admin153@viaLT.com,admin,t3stL0ad3r,,,,,,,,,,,,
supervisor151,supervisor,a.,151,male,supervisor151@viaLT.com,faculty,t3stL0ad3r,,,,,,,,,,,,
supervisor152,supervisor,a.,152,male,supervisor152@viaLT.com,faculty,t3stL0ad3r,,,,,,,,,,,,
supervisor153,supervisor,a.,153,male,supervisor153@viaLT.com,faculty,t3stL0ad3r,,,,,,,,,,,,
mentor151,mentor,a.,151,male,mentor151@viaLT.com,external,t3stL0ad3r,,,,,,,,,,,,
mentor152,mentor,a.,152,male,mentor152@viaLT.com,external,t3stL0ad3r,,,,,,,,,,,,
mentor153,mentor,a.,153,male,mentor153@viaLT.com,external,t3stL0ad3r,,,,,,,,,,,,
mentor154,mentor,a.,154,male,mentor154@viaLT.com,external,t3stL0ad3r,,,,,,,,,,,,
student171,student,a.,171,male,student171@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
student172,student,a.,172,male,student172@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
student173,student,a.,173,male,student173@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
student174,student,a.,174,male,student174@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
student175,student,a.,175,male,student175@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
student176,student,a.,176,female,student176@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
student177,student,a.,177,female,student177@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
student178,student,a.,178,female,student178@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
student179,student,a.,179,female,student179@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
student180,student,a.,180,female,student180@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
student1171,student,a.,1171,male,student1171@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
faculty1171,faculty,a.,1171,male,faculty1171@viaLT.com,faculty,t3stL0ad3r,,,,,,,,,,,,
mentor1171,mentor,a.,1171,male,mentor1171@viaLT.com,external,t3stL0ad3r,,,,,,,,,,,,
admin1171,admin,a.,1171,male,admin1171@viaLT.com,admin,t3stL0ad3r,,,,,,,,,,,,
student1172,student,a.,1172,male,student1172@viaLT.com,student,t3stL0ad3r,,,,,,,,,,,,
